idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1594212,28951,Fabricated Metals,Small,South South,Establishment,Manufacturing,South South,6,No,Fresh,English,20,2,2025,12,24,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,1999,6,2020,25,No,No,,No,,,,No,,,,,,Yes,100.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Manufacturing of ,100,50000000.0,fifty million,20000000.0,twenty million,90.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,50,0,0,0,0,50,0,Yes,3500000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,100,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100,Debit cards,,Above 0 but below 0.5%,No time spent,No,,,,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,15,12,3,13,8,5,7,1,11,6,14,10,2,9,4,Access to finance,15,12,3,13,8,5,7,1,11,6,14,10,2,9,4,6,6,100.0,,6.0,0.0,0.0,0.0,,6,0,0,Yes,,90.0,No employees trained,,No women employees trained,,No,,,5,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,No obstacle,No elecricity from a utiilty (spontaneous),,1000,Liters,,1000,2000000.0,800000.0,14000000.0,,20000000.0,10,20,2,2025,13,8,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,2599,South South,Small (5-19),Fabricated Metals,Fresh,20.991846,22.426731,22.4842,142
1594213,29054,Professional Activities,Medium,South South,Establishment,Manufacturing,South South,5,No,Fresh,English,26,2,2025,14,39,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2020,1,2016,26,No,No,,No,,,,Yes,30.0,14.0,59.0,,1560000.0,Yes,80.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With no difficulty at all,Manufacturing of ,90,12000000.0,twelve million,15000000.0,fifteen million,100.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,Yes,Yes,getting of personal protective equipments for the workers.,Yes,Increased in quick delivery,No,,,,,,,,,No,,,Tend to agree,No,,No,No,0,30,0,0,40,30,0,Yes,1200000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was rejected,Don't know (spontaneous),Yes,100,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,One hour or less,"Yes, partially","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Minor obstacle,Minor obstacle,Major obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,4,11,10,7,1,2,14,9,12,5,15,13,8,6,3,Access to finance,4,11,10,7,1,2,14,9,12,5,15,13,8,6,3,5,2,100.0,,5.0,0.0,0.0,0.0,,5,0,0,No,,,,,,,No,,,Don't know (spontaneous),Don't know (spontaneous),,,No,,,No,,Minor obstacle,Major obstacle,5890,10000.0,0,,,0,2500000.0,Don't know (spontaneous),3000000.0,,24000000.0,3,26,2,2025,15,27,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,2599,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
1594214,29641,Professional Activities,Medium,South South,Establishment,Other services,South South,7,No,Fresh,English,3,4,2025,9,36,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2014,4,2016,4,Yes,No,,No,,,,Yes,10.0,5.0,59.0,No Losses,,Yes,60.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With no difficulty at all,"Repair of motor vehicles, computers, or household goods",100,30000000.0,thirty million,15000000.0,fifteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,70,30,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Collateral requirements were too high,,,No,75,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,Don't know (spontaneous),No,No,No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,1,15,9,12,11,2,4,14,13,7,5,3,8,10,6,Electricity,1,15,9,12,11,2,4,14,13,7,5,3,8,10,6,7,5,90.0,,,,,,1.0,1,6,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Moderate obstacle,1020,8700.0,0,,,0,6000000.0,120000.0,,,,6,3,4,2025,11,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,9521,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
1594215,29862,Other Services,Small,South South,Establishment,Other services,South South,5,Yes,Fresh,English,29,3,2025,13,40,2024,12,31,93,Interviewer10,4.0,Yes,Yes,Yes,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2021,7,2021,5,No,No,,No,,,,Yes,28.0,23.0,59.0,No Losses,,Yes,50.0,Yes,50.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Wholesale trade of ,100,78000000.0,seventy eight million,50000000.0,fifty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,Yes,No,,,Yes,home delivery of refilling cooking gas,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,80,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,4,Yes,8.0,Yes,Yes,2.0,4,"Yes, partially","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,12,2,10,4,3,14,1,7,11,5,13,8,6,15,9,Electricity,12,2,10,4,3,14,1,7,11,5,13,8,6,15,9,7,5,100.0,,,,,,0.0,4,2,1,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,No elecricity from a utiilty (spontaneous),,0,,,0,7000000.0,800000.0,,,,5,1,4,2025,16,30,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,City with population over 1 million,4661,South South,Small (5-19),Other Services,Fresh,219.96727,235.10156,235.704,148
1594216,30307,Professional Activities,Medium,South South,Establishment,Other services,South South,6,No,Fresh,English,14,3,2025,15,2,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2015,4,2019,12,Yes,No,,No,,,,Yes,15.0,6.0,59.0,No Losses,,Yes,80.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,No,No,,No,With no difficulty at all,Wholesale trade of ,100,120000000.0,one hundred and twenty million,80000000.0,eighty  million,,100,0,0,,,,,,,,,,30,70,No,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,70,30,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Application procedures were complex,,,No,80,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,4.0,No,No,,One hour or less,"Yes, partially","Yes, fully",No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Very severe obstacle,No obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,8,9,13,14,2,10,4,12,11,3,15,6,7,5,1,"Crime, theft and disorder",8,9,13,14,2,10,4,12,11,3,15,6,7,5,1,8,4,100.0,,,,,,5.0,0,6,2,No,,,,,,,No,,,2,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Minor obstacle,2792,50000.0,Don't know (spontaneous),,,Don't know (spontaneous),8600000.0,170000.0,,,,Don't know (spontaneous),26,3,2025,14,17,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4649,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
1594217,30521,Other Services,Small,South South,Establishment,Other services,South South,18,No,Fresh,English,17,3,2025,9,44,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,Yes,100.0,2013,12,2012,5,No,No,,No,,,,Yes,18.0,12.0,59.0,,5000000.0,Yes,85.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With no difficulty at all,Hotel,80,80000000.0,eighty million,70000000.0,Seventy million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,Yes,"Introduced point of sale machine , various payment options.",No,,26.0,3744.0,Square Meters,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100,Debit cards,,Above 0 but below 0.5%,No time spent,Yes,9.0,No,No,,One hour or less,"Yes, partially","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,8,4,7,9,12,14,15,10,6,11,13,5,3,1,2,Electricity,8,4,7,9,12,14,15,10,6,11,13,5,3,1,2,18,12,100.0,,,,,,5.0,14,0,4,No,,,,,,,No,,,No part-time workers,18,5.0,12.0,No,,,No,,Minor obstacle,Moderate obstacle,5360,256000.0,0,,,0,32000000.0,300000.0,,,,12,17,3,2025,10,14,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,5510,South South,Small (5-19),Other Services,Fresh,219.96727,235.10156,235.704,148
1594218,31412,Retail,Small,South South,Establishment,Retail services,South South,6,No,Fresh,English,14,3,2025,12,12,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2021,7,2020,25,No,No,,No,,,,Yes,23.0,19.0,59.0,,20000.0,Yes,90.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Retail trade of ,90,60000000.0,sixty million,50000000.0,fifty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,Yes,No,,,No,,No,,,,,,22000.0,Square Meters,,No,,,Tend to agree,Yes,2000000.0,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,90,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,Don't know (spontaneous),No,,,,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,,20000.0,No,,,No,,,Moderate obstacle,Minor obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,11,6,10,13,9,8,12,7,14,4,3,1,15,5,2,Business licensing and permits,11,6,10,13,9,8,12,7,14,4,3,1,15,5,2,5,7,100.0,,,,,,1.0,4,0,1,Yes,,,,,1.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Moderate obstacle,1826,20000.0,0,,,0,6000000.0,360000.0,,50000000.0,,10,14,3,2025,13,53,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4789,South South,Small (5-19),Retail,Fresh,370.49664,395.17914,405.85498,146
1594219,31454,Fabricated Metals,Medium,South South,Establishment,Other services,South South,36,Yes,Fresh,English,25,3,2025,13,55,2024,12,31,93,Interviewer10,2.0,Yes,Yes,Yes,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2019,7,2019,6,Yes,No,,No,,,,No,,,,,,Yes,80.0,Yes,20.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With no difficulty at all,Wholesale trade of ,100,650000000.0,six hundred and fifty million,200000000.0,two hundred million,,100,0,0,,,,,,,,,,0,100,Yes,New Zealand,Yes,56.0,13.0,48.0,14.0,Don't know (spontaneous),No,,Tend to agree,Tend to agree,Strongly agree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,Most managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Prices are regulated,Yes,Don't know (spontaneous),No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,100,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,5.0,No,Yes,Audit is ongoing,3,No,"Yes, partially",No,,The establishment did not need to request a refund,Yes,Somewhat difficult,Yes,Don't know (spontaneous),No payments or gifts are paid,,Yes,65.0,No,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,12,6,11,14,9,5,13,7,15,8,1,10,3,2,4,Electricity,12,6,11,14,9,5,13,7,15,8,1,10,3,2,4,36,15,100.0,,,,,,2.0,10,19,7,Yes,,,,,2.0,,No,,,No part-time workers,10,3.0,12.0,No,,,No,,Moderate obstacle,Moderate obstacle,No elecricity from a utiilty (spontaneous),,0,,,0,35000000.0,600000.0,,,,30,25,3,2025,14,37,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,City with population over 1 million,4663,South South,Medium (20-99),Fabricated Metals,Fresh,2.0565648,2.2212422,2.2172267,153
1594220,31936,Other Services,Large,South South,Establishment,Other services,South South,44,No,Fresh,English,31,3,2025,13,21,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2013,10,2013,7,Yes,No,,No,,,,Yes,8.0,4.0,59.0,No Losses,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Wholesale trade of ,100,130000000.0,One hundred and thirty million,Don't know (spontaneous),,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,Yes,"home delivery of bought drinks, active customer service to purchase online.",No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,Yes,12000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,80,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,3,Yes,8.0,No,Yes,5.0,9,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,30.0,No,Minor obstacle,Moderate obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Major obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Major obstacle,3,15,2,13,9,4,6,12,14,11,10,8,5,1,7,"Crime, theft and disorder",3,15,2,13,9,4,6,12,14,11,10,8,5,1,7,44,22,80.0,,,,,,4.0,32,8,4,Yes,,,,,No women employees trained,,No,,,8,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Moderate obstacle,2108,34000.0,0,,,0,Don't know (spontaneous),,,,,Don't know (spontaneous),31,3,2025,14,12,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,4630,South South,Large (100 or more),Other Services,Fresh,2.228397,2.4666111,2.4492228,167
1594221,32708,Professional Activities,Medium,South South,Establishment,Other services,South South,32,No,Fresh,English,20,2,2025,14,9,2024,12,31,93,Interviewer10,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2005,32,2015,25,No,No,,No,,,,Yes,24.0,12.0,59.0,No Losses,,Yes,100.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,Yes,No,,The establishment does not have an internet connection,With no difficulty at all,Other services ,100,240000000.0,two hundred and forty million,180000000.0,one hundred and eighty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,No,Tend to agree,Tend to agree,Tend to agree,We fixed it but did not take further action,Yes,10 or more production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,Most managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,No,No,Yes,Yes,"new laboratory investigations, social media handle and home sample collection",Yes,home sample collection,Yes,1320000.0,,,,,,,,No,,,Tend to agree,No,,No,No,80,20,0,0,0,0,0,Yes,45000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,70,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,100,Debit cards,,Above 0 but below 0.5%,10,Yes,10.0,Yes,Yes,3.0,40,No,"Yes, fully",No,,Refunds take too long to receive,Yes,Very much difficult,Yes,NO PAYMENT HAS YET BEEN RECEIVED,Don't know (spontaneous),,No,,,No,,,Moderate obstacle,Very severe obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Very severe obstacle,Very severe obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Major obstacle,Moderate obstacle,12,10,5,13,11,14,8,7,3,15,1,2,6,9,4,"Crime, theft and disorder",12,10,5,13,11,14,8,7,3,15,1,2,6,9,4,30,32,100.0,,,,,,20.0,20,6,4,Yes,,,,,20.0,,Yes,12.0,4.0,32,No full-time seasonal or temporary workers,,,No,,,No,,Very severe obstacle,Major obstacle,5679,1300000.0,10000,Liters,,10000,70000000.0,3000000.0,,,,Don't know (spontaneous),20,2,2025,15,47,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Face to face only,No,No,Over 250.000 to 1 million,7490,South South,Medium (20-99),Professional Activities,Fresh,157.41708,170.49287,177.23378,157
