idstd,id,preference,rotation,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8a,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,ETHb2,ETHb2x,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,ETHc1,ETHc2,c12,c13,c14,c15,c16,c17,c22a,c22b,c30a,c30b,d1a1x,d1a2,d1a3,d2,d2x,d3a,d3b,d3c,d4,d5a,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d15a,d16,d17,ETHd1,ETHd2,ETHd3a,ETHd3b,ETHd3c,ETHd3d,ETHd3e,ETHd4,ETHd5a,ETHd5b,ETHd6,ETHd6a,ETHd7,ETHd8,ETHd9,ETHd9a,ETHd30,d30a,d30b,ETHt30a,ETHt30b,ETHt30c,ETHt30d,e1,e2b,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,ETHg1,ETHg2,ETHg3a,ETHg3b,ETHg3c,ETHg4,ETHg5,ETHg6,g6a,g6b,g6c,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc1,k3bc2,k3e,k3f,k3hd,k4,n5a,n5b,ETHk1a,ETHk1b,k5a,k5i,k5bc1,k5bc2,k5e,k5f,k5hdj,ETHk2,ETHk3a,ETHk3b,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,ETHk4,ETHk5,ETHk6,ETHk7,ETHk8a,ETHk8,ETHk9,k15b,k15c,k15d,k16,k17,k20a1,k21,ETHk10,k30,h7a,j2,j3,j4,j5,ETHj1,ETHj2,ETHj3,ETHj4,ETHj5,ETHj5x,ETHj6,ETHj7,ETHj30a,ETHj30b,ETHj30c,ETHj30d,ETHj30e,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,ETHl2a,ETHl2b,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2b,n2e,n2f,n2i,n2p,n3,n6a,n6b,n7a,n7b,ETHn1,ETHn2,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,stratificationregioncode,stratificationsizecode,stratificationsectorcode,panelcode,wstrict,wmedian,wweak,strata
590595,1395,8,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Services of motor vehicles,Transport  Section I: (60-64),"No, does not match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1002,2001,21,10,2015,15,35,Sole proprietorship,,100,100,0,0,0,,,No,,2009,4,Yes,2009,30,No,No,,No,,,No,,,,,,No,,,Increased,No,,,,,,No,No,No Obstacle,Moderate Obstacle, Domestic transportation,6022,100,754680.0,Seven hundred and fifty four thousand  six hundred and eighty,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,,,,,,,,DONT KNOW (SPONTANEOUS),,,,,,,,,,,,,,,,DOES NOT APPLY,Does Not Apply,Minor Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Does Not Apply,Yes,,24573.0,No,,,No Obstacle,0,70,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,No,No change,Moderate Obstacle,Strongly agree,NO TIME WAS SPENT,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Minor Obstacle,Minor Obstacle,No Obstacle,Moderate Obstacle,No Obstacle,7,5,DONT KNOW (SPONTANEOUS),IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,70,No,,,No Obstacle,No Obstacle,1,1,246749,DONT KNOW (SPONTANEOUS),,,,,537388,,,,,Yes,100.0, General Manager,6,Male,,,,,,,23,10,2015,16,47,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,2,7,0,16.69,18.26,29.48,27.0
590596,1419,23,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,No,City with population over 1 million,Hotel and restaurants: section H,Hotel and restaurants: section H,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1010,2001,11,11,2015,10,54,Sole proprietorship,,100,100,0,0,0,,,No,,2009,12,Yes,2009,DON'T KNOW,No,No,,No,,,Yes,30.0,2.0,1.0,10.0,,No,,,No change,No,,,,,,Yes,No,Major Obstacle,Minor Obstacle,"restaurant,hot beverages",5520,90,2300000.0, Two million three hundred thousand,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,,,,,,,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,No,No obstacle,No,,No,No,Yes,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Major Obstacle,Yes,,12000.0,No,,,No Obstacle,50,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Application procedures were complex,,No,DONT KNOW (SPONTANEOUS),No Obstacle,Tend to agree,30,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Very Severe Obstacle,Very Severe Obstacle,Very Severe Obstacle,No Obstacle,Minor Obstacle,Minor Obstacle,18,16,8,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,90,No,,,No Obstacle,Moderate Obstacle,10,1,240000,24000,,,,,1800000,,,,,No,, General Manager,6,Male,,,,,,,11,11,2015,12,34,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/,0.0,52.0,1,1,7,0,24.0,26.95,62.89,13.0
590597,1736,76,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Transport  Section I: (60-64),Transport  Section I: (60-64),"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1011,2001,5,11,2015,18,50,Sole proprietorship,,100,100,0,0,0,,,No,,1995,2,Yes,1995,16,No,No,,No,,,No,,,,,,No,,,Increased,No,,,,,,No,No,Minor Obstacle,Minor Obstacle,transportation service,6022,100,720000.0, Seven hundred and twenty thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Moderate Obstacle,Moderate Obstacle,DOES NOT APPLY,DOES NOT APPLY,Minor obstacle,No obstacle,,,,Yes,Moderate obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,0,100,0,0,100,No,,,,,,Minor Obstacle,No,,,No,,,Minor Obstacle,0,0,100,0,0,0,0,0,Yes,1200000.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,Yes,,Application was approved in full,No,No change,Minor Obstacle,Tend to agree,2,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,Minor Obstacle,Minor Obstacle,No Obstacle,No Obstacle,No Obstacle,6,3,3,3,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,50,No,,,No Obstacle,No Obstacle,1,1,168000,DONT KNOW (SPONTANEOUS),,,,,360000,,,,,No,, General Manager,10,Male,,,,,,,5,11,2015,19,46,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1,6,0,117.15,132.9,487.69,11.0
590598,2082,23,2,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Non metallic mineral products,Non metallic mineral products,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1002,2001,19,11,2015,11,27,Limited partnership,,66,100,0,0,0,,,Yes,75.0,2009,7,Yes,2009,5,Yes,No,,No,,,Yes,5.0,6.0,0.0,0.0,,No,,,No change,No,,,Yes,Number of incidents of water insufficiency  in a typical mon,6.0,Yes,No,Minor Obstacle,No Obstacle, Blocket Manufacturing,2692,80,500000.0,Five hundred thousand,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,100.0,0.0,,,,20.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,Moderate Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,National - Main product sold mostly across Ethiopia,10.0,No,No,DOES NOT APPLY (SPONTANEOUS),Yes,Yes,No,No,No,No,No,No,,50.0,60.0,Yes,4.0,0.0,3.0,1.0,,,,0,100,0,0,100,0,No,,,,,,Major Obstacle,Yes,,24000.0,No,,,No Obstacle,40,20,70,0,0,10,0,20,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,Yes,,Application was approved in full,Yes,Improved,Very Severe Obstacle,Tend to agree,20,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Minor Obstacle,Minor Obstacle,No Obstacle,Minor Obstacle,No Obstacle,7,7,6,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,4.0,3.0,3.0,0.0,Unskilled production workers,2.0,2.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,12.0,12.0,100,No,,,Does Not Apply,Does Not Apply,1,2,154694,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),78000.0,,2435740.0,DON'T KNOW (SPONTANEOUS),2400000.0,10000009.0,2400000.0,1000000.0,Yes,100000.0, General Manager,5,Female,,,,,,,7,12,2015,11,30,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/,2.0,56.0,1,1,3,0,1.1,1.24,1.8,5.0
590599,2474,7,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Retail,Garments,"No, does not match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1011,2001,21,11,2015,8,43,Limited partnership,,70,100,0,0,0,,,Yes,30.0,2011,45,Yes,2010,10,No,Yes,ISO 9001 2008,No,,,Yes,8.0,1.0,0.0,5.0,,No,,,Increased,No,,,Yes,Number of incidents of water insufficiency  in a typical mon,5.0,Yes,Yes,Moderate Obstacle,Moderate Obstacle, manufacture of shirt,1810,100,8100000.0,eight million one hundred thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,10.0,90.0,Yes,10.0,No,90.0,,Yes,4.0,3.0,0.0,Number of Application Still in Process,0.0,0.0,Private commercial banks,1800000.0,1800000.0,30.0,,60.0,No,,,Major Obstacle,Moderate Obstacle,Moderate Obstacle,Minor obstacle,DOES NOT APPLY,Minor obstacle,No obstacle,National - Main product sold mostly across Ethiopia,4.0,No,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,No,No,No,No,,60.0,44.0,No,,,,,,,,100,0,0,0,100,0,No,,,,,,Moderate Obstacle,Yes,,72000.0,No,,,No Obstacle,0,0,70,30,0,0,0,0,Yes,500000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,Yes,Yes,Private commercial banks,2014.0,1000000.0,Yes,Yes,No,No,No,No,5000000.0,10.0,24.0,No,,No,,,1.0,DON'T KNOW,No,No,No need for a loan - establishment had sufficient capital,,Yes,Improved,No Obstacle,Tend to agree,25,Yes,4.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Yes,NO PAYMENTS OR GIFTS ARE PAID,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Major Obstacle,No Obstacle,Minor Obstacle,Minor Obstacle,Minor Obstacle,60,45,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,40.0,20.0,25.0,15.0,0.0,25.0,10.0,,10,10.0,LESS THAN ONE MONTH,12.0,12.0,75,No,,,No Obstacle,Major Obstacle,9,1,1200000,75000,4500000.0,60000.0,,7200000.0,4700000,2300000.0,3600000.0,4000000.0,7000000.0,Yes,50000.0, General Manager,3,Male,,,,,,,21,11,2015,11,44,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,2,5,0,16.06,17.2,39.15,23.0
590600,2558,4,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Non metallic mineral products,Furniture,"No, does not match",Small,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,31,7,2015,9,36,Limited partnership,,50,100,0,0,0,,,Yes,30.0,2011,10,Yes,2011,13,No,No,,Yes,150.0,No,Yes,10.0,8.0,0.0,4.0,,Yes,20.0,274.0,Increased,No,,,Yes,10.0,24.0,Yes,No,Very Severe Obstacle,No Obstacle,Manufacturing Of Furniture,3610,50,9325039.0,   Nine Million Three Hundred Twenty Five Thousand and thirty nine,100,0,0,,,,,,NO LOSSES,NO LOSS,30.0,70.0,Yes,30.0,Yes,180.0,,Yes,5.0,Number of Application Still in Process,Number of Application Still in Process,0.0,0.0,3.0,Private commercial banks,726000.0,726000.0,30.0,,90.0,No,,,Major Obstacle,No Obstacle,Minor Obstacle,Minor obstacle,DOES NOT APPLY,Minor obstacle,No obstacle,National - Main product sold mostly across Ethiopia,TOO MANY TO COUNT,No,No,DOES NOT APPLY (SPONTANEOUS),Yes,No,Yes,Yes,Yes,No,No,No,,65.0,48.0,No,,,,,,,,100,0,0,0,100,0,No,,,,,,Does Not Apply,Yes,,42000.0,No,,,Does Not Apply,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,Yes,Yes,Private commercial banks,2014.0,4500000.0,Yes,No,No,No,No,Yes,DON'T KNOW,7.0,60.0,No,,No,,,1.0,4500000.0,Yes,No,No need for a loan - establishment had sufficient capital,,Yes,No change,Minor Obstacle,DOES NOT APPLY,17,Yes,Times inspected or met with tax officials,Yes,Yes,Yes,Yes,Yes,,,,,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,No,,NO PAYMENTS,,Yes,7.0,No,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,Does Not Apply,43,10,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,31.0,12.0,31.0,0.0,0.0,0.0,0.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,11.0,NO FEMALE PRODUCTION WORKERS,92,Yes,5.0,1.0,No Obstacle,No Obstacle,8,1,977494,24000,6957500.0,75000.0,,8033994.0,587412,275124.0,0.0,7000000.0,12000000.0,No,,,3,Male,,1.0,Female,,,,31,7,2015,12,10,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1,3,0,1.1,1.24,1.8,5.0
590601,2791,3,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Construction Section F:,Construction Section F:,"Yes, screener and sample frame info match",Small,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,30,7,2015,10,25,Sole proprietorship,,100,100,0,0,0,,,No,,1998,2,Yes,1998,16,No,No,,Yes,45.0,No,Yes,5.0,1.0,0.0,0.0,,Yes,2.0,DONT KNOW (SPONTANEOUS),Decreased,Yes,15.0,No,,,,Yes,No,Minor Obstacle,Moderate Obstacle,Construction building,4520,100,13802834.0,   Thirteen Million Eight Hundred and Two Thousand Eight  hundred and thirty four,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,,,,,,,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,No obstacle,DOES NOT APPLY,No obstacle,Moderate  obstacle,,,,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,Yes,No,No,No,,,,Yes,2.0,1.0,0.0,1.0,Number of days for the longest process,The regional government,Yes,99,1,0,0,100,0,Yes,15.0,Yes,,,,Major Obstacle,Yes,,43300.0,No,,,Minor Obstacle,15,0,90,0,0,0,0,10,Yes,3200000.0,450000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Other,,Yes,No change,Minor Obstacle,Strongly disagree,DONT KNOW (SPONTANEOUS),Yes,2.0,No,Yes,Yes,No,Yes,,,,,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,No,,NO PAYMENTS,,Yes,7.0,No,No,,,Moderate Obstacle,Minor Obstacle,No Obstacle,No Obstacle,Moderate Obstacle,Moderate Obstacle,13,20,20,20,,,,,,,,DON'T KNOW (SPONTANEOUS),160,35.0,LESS THAN ONE MONTH,,,55,No,,,No Obstacle,No Obstacle,5,1,1420000,3000,,,,,12988986,,,,,Yes,125000.0,,6,Male,,,,,,,30,7,2015,11,16,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1,7,0,24.0,26.95,62.89,13.0
590602,3104,13,1,Retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Retail,Hotel and restaurants: section H,"No, does not match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1011,2001,12,11,2015,13,59,Sole proprietorship,,100,100,0,0,0,,,No,,2010,6,Yes,2010,20,No,No,,No,,,Yes,30.0,1.0,30.0,5.0,,Yes,5.0,60.0,Decreased,No,,,,,,No,No,Moderate Obstacle,Minor Obstacle, food service,5520,100,1080000.0, One million eighty thousand,100,0,0,,,,,,NO LOSSES,3.0,,,,,,,15.0,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Minor Obstacle,Minor Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No obstacle,,,,Yes,Minor obstacle,Yes,Yes,Yes,No,No,No,No,No,,,,No,,,,,,,,100,0,0,100,0,0,No,,,65.0,Square Meters,,No Obstacle,No,,,No,,,Minor Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,Yes,90000.0,0.0,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,Yes,No change,Minor Obstacle,Tend to disagree,5,Yes,12.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,REFUSAL (SPONTANEOUS),,No,,,No,,,No Obstacle,Minor Obstacle,No Obstacle,No Obstacle,Moderate Obstacle,Minor Obstacle,6,6,DONT KNOW (SPONTANEOUS),IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,3.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,100,No,,,Minor Obstacle,Minor Obstacle,12,1,60000,24000,,,800000.0,,720000,,,,,Yes,10000.0, Owner and General Manager,5,Male,,,,,,,12,11,2015,14,55,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1,5,0,12.36,13.57,44.68,9.0
590603,3290,16,1,Retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Retail,"No, does not match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1005,2000,25,11,2015,14,45,Sole proprietorship,,100,100,0,0,0,,,No,,2005,4,No,2009,15,No,No,,No,,,No,,,,,,Yes,DON'T KNOW,DONT KNOW (SPONTANEOUS),Increased,No,,,,,,Yes,No,Minor Obstacle,Moderate Obstacle, Retail trade,5239,100,1425643.0, One Million four hundred twenty five thousand six hundred forty three,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,60.0,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Minor Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,Yes,Major obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,75.0,OTHER (SPECIFY),kara,Moderate Obstacle,Yes,,45000.0,No,,,No Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,Improved,Major Obstacle,Tend to agree,10,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Minor Obstacle,Minor Obstacle,No Obstacle,No Obstacle,No Obstacle,5,5,5,5,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,70,No,,,Does Not Apply,Does Not Apply,12,1,240000,DONT KNOW (SPONTANEOUS),,,756486.0,,674489,,,,,No,, General Manager,10,Male,,,,,,,25,11,2015,15,55,Somewhat truthful,Are estimates computed with some precision,Several visits,2.0,42.0,1,2,7,0,16.69,18.26,29.48,27.0
590604,3830,12,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Transport  Section I: (60-64),Transport  Section I: (60-64),"Yes, screener and sample frame info match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1005,2000,25,11,2015,14,47,Sole proprietorship,,100,100,0,0,0,,,Yes,100.0,2011,5,Yes,2010,5,No,No,,No,,,No,,,,,,No,,,No change,No,,,,,,No,No,Minor Obstacle,Moderate Obstacle, Transportation,6022,100,540000.0,Five hundred and fourty thousand,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,,,,,,,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Does Not Apply,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,No,No,No,No,,,,No,,,,,,,,0,0,100,0,0,100,No,,,,,,Minor Obstacle,No,,,No,,,Minor Obstacle,0,60,60,0,0,0,40,0,No,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,No,No change,Moderate Obstacle,Tend to agree,5,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,5,5,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,20,No,,,No Obstacle,No Obstacle,1,1,134000,DONT KNOW (SPONTANEOUS),,,,,560000,,,,,No,, General Manager,5,Male,,,,,,,25,11,2015,17,13,Somewhat truthful,Are in some case taken from books in some case estimates,Several visits,1.0,4.0,1,2,6,0,38.34,42.39,107.58,25.0
590605,4333,17,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Services of motor vehicles,Services of motor vehicles,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1009,2001,16,9,2015,15,0,Sole proprietorship,,100,100,0,0,0,,,Yes,100.0,2004,8,Yes,2004,4,Yes,No,,No,,,No,,,,,,No,,,Increased,No,,,,,,Yes,No,Very Severe Obstacle,Major Obstacle,Break Pad Maintenance Service,5020,90,2000000.0,   Two Million,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,Yes,4.0,Number of Application Still in Process,0.0,3.0,0.0,0.0,Private commercial banks,20000000.0,15400000.0,50.0,,180.0,No,,,Very Severe Obstacle,No Obstacle,Minor Obstacle,Very Severe  obstacle,DOES NOT APPLY,Major obstacle,DOES NOT APPLY,,,,Yes,Moderate obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Does Not Apply,Yes,,12000.0,No,,,No Obstacle,0,0,80,0,0,0,0,20,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,Yes,No,Collateral requirements were too high,,Yes,Improved,Very Severe Obstacle,Tend to agree,2,Yes,6.0,Yes,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,Moderate Obstacle,No Obstacle,12,12,10,10,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,80,No,,,Minor Obstacle,No Obstacle,1,1,165000,2000,,,,,1800000,,,,,No,,,4,Female,,,,,,,16,9,2015,16,33,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1,7,0,24.0,26.95,62.89,13.0
